title,pages
අධිමාස දීපනය,7
අධිමාස විනිශ්චය,5
අධිමාස සංග්‍රහව,5
අනාගතවංශය : මෙතේ බුදු සිරිත,6
අ‍‍ශෝක ශිලාලිපි සහ ප්‍රතිමාකරණ විනිශ්චය,5
ඔකඳපොල සන්නය හෙවත් බාලාවතාර ලියන සන්න,6
කාව්‍ය වජ්‍රායුධය - පළමු කොටස,6
කාව්‍යෙශ්ඛරය,5
කුදුසික,6
කුසජාතක විවරණය (ප්‍රථම භාගය),7
ගඩලාදෙණි සන්නයයි ප්‍රසිද්ධ වූ බාලාවතාරේ පුරාණ ව්‍යාඛ්‍යානය,5
ජුබිලි වර්ණනාව,5
දහම් සරණ,7
දළදා පූජාවලිය,6
දුර්වාදී හෘදය විදාරණය,5
ධම්පියා අටුවා ගැටපදය,5
ධර්ම ප්‍රදීපිකාව හෙවත් මහාබෝධිවංශ පරිකථාව,5
ධර්මප්‍රදීපිකාව,5
නිකම් හැකියාව,5
නිකාය සංග්‍රහය හෙවත් ශාසනාවතාරය,5
නිදහසේ මන්ත්‍රය,8
පන්සිය පනස් ජාතක පොත,5
පරවි සංදේශය,7
පැරණි ගම,5
බුද්ධ සික්ඛා හෙවත් කුදු සික,5
මගේ මල්ලි,5
මහාවංස ටීකා,6
මුවදෙව් දා විවරණය,5
මොග්ගලලායනව්‍යාකරණං,6
මොග්ගල්ලාන පංචිකා ප්‍රදීපය,6
ලියනෝරා නාඩගම,6
ව්‍යාකරණ විවරණය හෙවත් සිංහල භාෂාවේ ව්‍යාකරණය,6
විබත් මල්දම,5
වෛද්‍ය චින්තාමනි භෛෂද්‍ය සංග්‍රහව,5
සංස්කෘත ශබ්ධමාලාව හෙවත් සංස්කෘත නාම වරනැගිල්ල,5
සද්ධර්ම රත්නාවලිය - ප්‍රථම භාගය,7
සන්න සහිත අභිසම්බෝධි අලංකාරය,5
සන්නසහිත සැලළිහිණි සන්දේශය,5
සාරාර්ථ සංග්‍රහව : ප්‍රථම භාගය,5
සිංහල ව්‍යාකරණය එනම් සිදත් සඟරාව,6
සිතියම් සහිත මහාවංශය,5
සිතියම් සහිත මහියංගන වර්ණනාව,5
සිතියම් සහිත සද්ධර්මාලංකාරය,5
සිතියම් සහිත සියබස් මල්දම,6
හංස සංදේශය,5
හිතෝපදේශ සන්නය,6
